Phrase,Category
привет едокам.,1
почему южный парк?,1
Всем привет!,1
Кто может свезти пообедать?,7
цитириуешь себя),1
привет,1
"угу, так уж повелось), цитировать лучше чем повторяться :)",1
плюс,7
"а, может, в макдак?",9
Новый Год... все дела...)))),1
В макдак тогда уж 25-го надо было)),1
почему 25го?,1
А что в Макдаке новогоднего?,1
новогодний цезарь ролл))) новогодний капуччино,1
оливье ролл,1
Может лучше в столовку?,9
:(,1
окай :),7
(holidayspirit),1
(santa),1
Меня не забудьте,7
макдачники,1
Когда выдвигаемся?,1
в час?:),1
угу,1
Сразу после (computerrage),1
всем привет!:) я сегодня без машины - аккумулятор не выдержал мороза)),1
плюс4 места:),3
предлагаю в глобус,9
ого))) крутяк)))) я за,7
"Ваня, ты теперь с номерами?))",1
ага),7
(y),1
"не в срок поставил, но не оштрафовали)",1
плюс,7
плюс,7
Привет всем),1
Давайте заедем Полине аккумулятор купим),1
"аккумулятор у меня сравнительно новый - в прошлом году куплен. я просто вчера не ездила на ней, вот она и замёрзла",1
И что никто не подтолкнул тебя)?,1
"не, я решила вечером этим заняться - попрошу прикурить. с толкача она не заводилась в прошлом году",1
во сколько поедем?,1
"я за то, чтобы пораньше",1
12.45 норм?,1
"Полина, наверно, на занятиях.",1
подождем,1
Андрей))) я сегодня не на занятиях))),1
"поехали, когда вам удобно",1
"ну, я в 12:45 выйду, погрею еще, подходите",4
кто едет в итоге?,1
я,7
"Андрей Поняков тоже, я думаю",1
"плюс1 и Паша, наверное",7
и за Полиной зайти,1
ок,7
летсц гоу,1
Всем привет!,1
Кто может свезти пообедать?,7
плюс,7
плюс,7
Когда?,1
Виктор ты на машине?,1
одеваемся),3
я на машине,3
сейчас выхожу,1
отлично,1
привет! я сегодня на машинке (sun),3
привет,1
смелая :),1
я тож поленился на джамшутке ехать,1
хотя колебался),1
Повезёшь кушать? :),7
Всем привет!,1
там в городе какой-то снежный ад,1
плюс,7
плюс,7
снежный адснегопАААААД,1
кто едет? только если что - будете толкать мою малышечку)))),3
я еду:),3
я еду на своей,3
и снег расчищать лопатой для машины),3
а может тогда на Викторе поедем?:),1
Его машина больше)),1
плюс,7
Толкать лучше твою:),1
согласен),1
когда выходим?,1
я собираюсь через 1-2 мин,4
всем привет!,1
кто сегодня едет на обед?,7
:) я,7
я еду,3
Привет всем!,1
"Виктор, на машине?",1
да,1
окей:),1
Гоу?,1
я собираюсь,7
Всем привет!,1
"Ребята, кто-нибудь хочет в 12:30 поехать? Мне нужно сначала заехать ""туда"", а потом в столовку))",4
Привет :). Я сегодня не еду.,1
"Мне нужно сначала заехать ""туда""если конечно ""туда"" это не Ипподромная 22 :)",1
привет,1
я могу,7
"Полина, ты везешь?",1
да,7
плюс,7
Кто едет со мной - выходите в 12:30,4
я пока пойду машину погрею,3
всем привет!,1
кто сегодня едет?,7
привет,1
я еду,3
1,1
:),1
плюс1. Всем привет.,1
а кто меня прикурит?,1
я могу,1
"а ты уверен, что заведется? меня недавно пытались прикурить... не получилось, машина, видимо, совсем замерзла",1
не првый раз:),1
плюс,7
плюс,7
у меня сегодня машины нет:(,1
Прикурил с концами?,1
не,1
Ключей нет,1
"Виктор, когда и куда поедем?",1
все явно не влезем,1
Я одного могу забрать,3
так влезем?,7
я собираусь мин через 10,4
нас 6-ро вроде,1
"да, если Денис поедет, тогда влезаем",1
а куда едем?,1
Глобус?,1
поехали:),1
го,1
5мин,1
че?,1
я выхожу,1
Ну и гидэ? Поль уже замёрз,1
Ну и гидэ? Поль уже замёрзПоль :),1
"да, Поль ждал и замерзал(((",1
(shivering),1
Жан Поль?,1
"))))))))) нет, другой Поль",1
Всем привет!,1
Кто может свезти пообедать?,7
плюс,7
"Саша, а ты сегодня возишь?",1
плюс,7
угу,1
1,1
плюс,7
"плюс, хотел бы пассажиром",7
10 - 15 мин,4
я выхожу,3
плюс,7
и яяя,7
Спускаюсь на 4й,1
я сегодня минус,1
Всем привет!,1
Кто может свезти пообедать?,7
плюс,7
у меня сегодня макулатура,1
так что после столовки - погрузка,1
:),1
Так у нас будет трапеза)?,7
да,1
Или ты нас на рубли променял?),1
хорошо :),1
плюс,7
Когда?,7
Надо выдвигаться видимо,1
у меня 1 место есть если что,3
плюс,7
плюс,7
Может без Полины сегодня в одну машинку влезем?,7
В маршрутку бы влезли),1
гоу,1
привет всем,1
"мне нужно съездить в леруа, поэтому предлагаю поехать в глобус. кто-нибудь хочет со мной?",5
Я хочу :),7
Всем привет!,1
привет!,1
а в столовку кто-нибудь поедет?,9
У Саши вроде дейли митинг в это время,1
Всмысле сейчас,1
у кого?,1
Я за Глобус,9
у кого?у тебя,1
или я дизенформирую? (чёт скайп глючит с редактированием сообщений),1
"Денис, у тебя митинг в час)",1
и у меня,1
блин,1
вот ты умешь поддержать беседу ),1
а во сколько?,1
я в Рубин,5
я в РубинЕсть?,1
"можно мне еды, пожалуйста",1
я сейчас поеду,4
Да,1
кто со мной в глобус?,5
плюс,7
> ,1
Есть?да,1
там есть че поесть:),1
заманчиво :),1
"Санёк, Андрюх, с обедом поможете?",1
